SU_KAYNAK_TUR;Su Kaynak Türü;BELEDIYE_NITELIK_SU;Belediye Nitelik Su;ARITMA_TESIS_TIP;Arıtma Tesis Tipi;REF_AREA;Coğrafi Kapsam;UNIT_MEASURE;Ölçü Birimi (BM3);Zaman (TIME_PERIOD);Gözlem;GOZLEM_DURUMU;Gözlem Durumu;ZAMAN_BICIMI;Zaman Formatı;ONDALIK;Ondalık Basamak Sayısı;BIRIM_CARPANI;Birim Çarpanı;GIZLILIK;Gizlilik Durumu
_T;Toplam;22;İçme ve Kullanma Suyu Şebekesi için Çekilen Toplam Su Miktarı;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2024;7467879,733;;;;;;;;;;
4;Baraj;22;İçme ve Kullanma Suyu Şebekesi için Çekilen Toplam Su Miktarı;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2024;2974215,066;;;;;;;;;;
5;Kuyu;22;İçme ve Kullanma Suyu Şebekesi için Çekilen Toplam Su Miktarı;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2024;2228032,607;;;;;;;;;;
1;Kaynak;22;İçme ve Kullanma Suyu Şebekesi için Çekilen Toplam Su Miktarı;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2024;1256417,284;;;;;;;;;;
3;Akarsu;22;İçme ve Kullanma Suyu Şebekesi için Çekilen Toplam Su Miktarı;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2024;716517,513;;;;;;;;;;
2;Göl / Gölet / Deniz;22;İçme ve Kullanma Suyu Şebekesi için Çekilen Toplam Su Miktarı;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2024;292697,263;;;;;;;;;;
_Z;-;21;Türkiye Nüfusu;_Z;-;TR;Türkiye;PS;Kişi;2024;85664944;;;;;;;;;;
_Z;-;1;Toplam Belediye Sayısı;_Z;-;TR;Türkiye;PN;Sayı;2024;1401;;;;;;;;;;
_Z;-;2;Toplam Belediye Nüfusu;_Z;-;TR;Türkiye;PS;Kişi;2024;81253846;;;;;;;;;;
_Z;-;3;İçme ve Kullanma Suyu Şebekesi ile Hizmet Verilen Belediye Sayısı;_Z;-;TR;Türkiye;PN;Sayı;2024;1397;;;;;;;;;;
_Z;-;19;İçme ve Kullanma Suyu Şebekesi ile Hizmet Verilen Belediye Nüfusu;_Z;-;TR;Türkiye;PS;Kişi;2024;80297977,28;;;;;;;;;;
_Z;-;26;İçme ve Kullanma Suyu Arıtma Tesisi Sayısı;_Z;-;TR;Türkiye;PN;Sayı;2024;810;;;;;;;;;;
_Z;-;5;İçme ve Kullanma Suyu Arıtma Tesisi ile Hizmet Verilen Belediye Sayısı;_Z;-;TR;Türkiye;PN;Sayı;2024;510;;;;;;;;;;
_Z;-;20;İçme ve Kullanma Suyu Arıtma Tesisi ile Hizmet Verilen Belediye Nüfusu;_Z;-;TR;Türkiye;PS;Kişi;2024;50744741,064956;;;;;;;;;;
_Z;-;11;Kişi Başı Çekilen Günlük Ortalama Su Miktarı;_Z;-;TR;Türkiye;LPD;Kişi Başına Günlük Su/Atıksu (Litre/Kişi/Gün);2024;254,800247366488;;;;;;;;;;
_Z;-;23;İçme ve Kullanma Suyu Şebekesi için Çekilen Yüzey Suyu Miktarı;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2024;3983429,842;;;;;;;;;;
_Z;-;24;İçme ve Kullanma Suyu Şebekesi için Çekilen Yeraltı Suyu Miktarı;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2024;3484449,891;;;;;;;;;;
_Z;-;25;İçme ve Kullanma Suyu Şebekesi ile Dağıtılan Su Miktarı;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2024;5033015,357;;;;;;;;;;
_Z;-;27;İçme ve Kullanma Suyu Arıtma Tesisi Kapasitesi;_T;Toplam;TR;Türkiye;BM3;Bin Metreküp;2024;7167578,31;;;;;;;;;;
_Z;-;27;İçme ve Kullanma Suyu Arıtma Tesisi Kapasitesi;1;Fiziksel ve / veya Kimyasal Arıtma;TR;Türkiye;BM3;Bin Metreküp;2024;48665,782;;;;;;;;;;
_Z;-;27;İçme ve Kullanma Suyu Arıtma Tesisi Kapasitesi;102;Konvansiyonel Arıtma;TR;Türkiye;BM3;Bin Metreküp;2024;6835090,86;;;;;;;;;;
_Z;-;27;İçme ve Kullanma Suyu Arıtma Tesisi Kapasitesi;3;Gelişmiş Arıtma;TR;Türkiye;BM3;Bin Metreküp;2024;283821,668;;;;;;;;;;
_Z;-;28;İçme ve Kullanma Suyu Arıtma Tesislerinde Arıtılan Su Miktarı;_T;Toplam;TR;Türkiye;BM3;Bin Metreküp;2024;4417173,368;;;;;;;;;;
_Z;-;28;İçme ve Kullanma Suyu Arıtma Tesislerinde Arıtılan Su Miktarı;1;Fiziksel ve / veya Kimyasal Arıtma;TR;Türkiye;BM3;Bin Metreküp;2024;19217,364;;;;;;;;;;
_Z;-;28;İçme ve Kullanma Suyu Arıtma Tesislerinde Arıtılan Su Miktarı;102;Konvansiyonel Arıtma;TR;Türkiye;BM3;Bin Metreküp;2024;4270136,489;;;;;;;;;;
_Z;-;28;İçme ve Kullanma Suyu Arıtma Tesislerinde Arıtılan Su Miktarı;3;Gelişmiş Arıtma;TR;Türkiye;BM3;Bin Metreküp;2024;127819,515;;;;;;;;;;
_Z;-;4;İçme ve Kullanma Suyu Şebekesi ile Hizmet Verilen Belediye Nüfusunun Toplam Belediye Nüfusuna Oranı;_Z;-;TR;Türkiye;PT;Yüzde;2024;98,8236018760269;;;;;;;;;;
_Z;-;6;İçme ve Kullanma Suyu Arıtma Tesisi ile Hizmet Verilen Belediye Nüfusunun Toplam Belediye Nüfusuna Oranı;_Z;-;TR;Türkiye;PT;Yüzde;2024;62,4521097314655;;;;;;;;;;
