SU_TEMIN_TURU;Su Temin Türü (1);KAYNAK_SEKTOR_CEVRE;Kaynak Sektör Çevre (_Z);SU_KULLANIM_TUR;Su Kullanım Türü (_Z);REF_AREA;Coğrafi Kapsam (TR);UNIT_MEASURE;Ölçü Birimi (BM3);Zaman (TIME_PERIOD);Gözlem;GOZLEM_DURUMU;Gözlem Durumu;ZAMAN_BICIMI;Zaman Formatı;ONDALIK;Ondalık Basamak Sayısı;BIRIM_CARPANI;Birim Çarpanı;GIZLILIK;Gizlilik Durumu
1;Toplam Çekilen Su Miktarı;_Z;-;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2020;18238294;;;;;;;;;;
1;Toplam Çekilen Su Miktarı;_Z;-;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2022;19233935;;;;;;;;;;
1;Toplam Çekilen Su Miktarı;_Z;-;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2024;20305050,5841915;;;;;;;;;;
1_1;Tatlı Su Miktarı;_Z;-;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2020;8021131;;;;;;;;;;
1_1;Tatlı Su Miktarı;_Z;-;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2022;8313148;;;;;;;;;;
1_1;Tatlı Su Miktarı;_Z;-;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2024;9218055,83319154;;;;;;;;;;
1_1_1;Yüzey Suyu Miktarı;_T;Toplam;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2020;3916376;;;;;;;;;;
1_1_1;Yüzey Suyu Miktarı;_T;Toplam;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2022;4058364;;;;;;;;;;
1_1_1;Yüzey Suyu Miktarı;_T;Toplam;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2024;4420291,00122507;;;;;;;;;;
1_1_1;Yüzey Suyu Miktarı;3;İmalat Sanayi İşyerleri;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2020;175386;;;;;;;;;;
1_1_1;Yüzey Suyu Miktarı;3;İmalat Sanayi İşyerleri;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2022;242758;;;;;;;;;;
1_1_1;Yüzey Suyu Miktarı;3;İmalat Sanayi İşyerleri;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2024;227848,26;;;;;;;;;;
1_1_1;Yüzey Suyu Miktarı;4;Termik Santraller;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2020;78852;;;;;;;;;;
1_1_1;Yüzey Suyu Miktarı;4;Termik Santraller;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2022;86981;;;;;;;;;;
1_1_1;Yüzey Suyu Miktarı;4;Termik Santraller;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2024;112056,365;;;;;;;;;;
1_1_1;Yüzey Suyu Miktarı;5;Organize Sanayi Bölgeleri;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2020;;;;;;;;;;;
1_1_1;Yüzey Suyu Miktarı;5;Organize Sanayi Bölgeleri;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2022;;;;;;;;;;;
1_1_1;Yüzey Suyu Miktarı;5;Organize Sanayi Bölgeleri;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2024;72069,313;;;;;;;;;;
1_1_1;Yüzey Suyu Miktarı;6;Maden İşletmeleri;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2020;;;;;;;;;;;
1_1_1;Yüzey Suyu Miktarı;6;Maden İşletmeleri;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2022;;;;;;;;;;;
1_1_1;Yüzey Suyu Miktarı;6;Maden İşletmeleri;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2024;22401,294;;;;;;;;;;
1_1_1;Yüzey Suyu Miktarı;1;Belediyeler;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2020;3574184;;;;;;;;;;
1_1_1;Yüzey Suyu Miktarı;1;Belediyeler;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2022;3628431;;;;;;;;;;
1_1_1;Yüzey Suyu Miktarı;1;Belediyeler;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2024;3981772,588;;;;;;;;;;
1_1_1;Yüzey Suyu Miktarı;2;Köyler;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2020;3544;;;;;;;;;;
1_1_1;Yüzey Suyu Miktarı;2;Köyler;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2022;3463;;;;;;;;;;
1_1_1;Yüzey Suyu Miktarı;2;Köyler;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2024;4143,18122506823;;;;;;;;;;
1_1_2;Yeraltı Suyu Miktarı;_T;Toplam;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2020;4104754;;;;;;;;;;
1_1_2;Yeraltı Suyu Miktarı;_T;Toplam;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2022;4254784;;;;;;;;;;
1_1_2;Yeraltı Suyu Miktarı;_T;Toplam;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2024;4797764,83196648;;;;;;;;;;
1_1_2;Yeraltı Suyu Miktarı;3;İmalat Sanayi İşyerleri;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2020;448051;;;;;;;;;;
1_1_2;Yeraltı Suyu Miktarı;3;İmalat Sanayi İşyerleri;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2022;468750;;;;;;;;;;
1_1_2;Yeraltı Suyu Miktarı;3;İmalat Sanayi İşyerleri;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2024;446924,014;;;;;;;;;;
1_1_2;Yeraltı Suyu Miktarı;4;Termik Santraller;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2020;33506;;;;;;;;;;
1_1_2;Yeraltı Suyu Miktarı;4;Termik Santraller;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2022;36169;;;;;;;;;;
1_1_2;Yeraltı Suyu Miktarı;4;Termik Santraller;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2024;32920,026;;;;;;;;;;
1_1_2;Yeraltı Suyu Miktarı;5;Organize Sanayi Bölgeleri;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2020;129704;;;;;;;;;;
1_1_2;Yeraltı Suyu Miktarı;5;Organize Sanayi Bölgeleri;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2022;135334;;;;;;;;;;
1_1_2;Yeraltı Suyu Miktarı;5;Organize Sanayi Bölgeleri;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2024;151561,159;;;;;;;;;;
1_1_2;Yeraltı Suyu Miktarı;6;Maden İşletmeleri;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2020;164811;;;;;;;;;;
1_1_2;Yeraltı Suyu Miktarı;6;Maden İşletmeleri;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2022;177016;;;;;;;;;;
1_1_2;Yeraltı Suyu Miktarı;6;Maden İşletmeleri;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2024;285104,5;;;;;;;;;;
1_1_2;Yeraltı Suyu Miktarı;1;Belediyeler;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2020;2916585;;;;;;;;;;
1_1_2;Yeraltı Suyu Miktarı;1;Belediyeler;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2022;3046977;;;;;;;;;;
1_1_2;Yeraltı Suyu Miktarı;1;Belediyeler;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2024;3484449,891;;;;;;;;;;
1_1_2;Yeraltı Suyu Miktarı;2;Köyler;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2020;412097;;;;;;;;;;
1_1_2;Yeraltı Suyu Miktarı;2;Köyler;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2022;390538;;;;;;;;;;
1_1_2;Yeraltı Suyu Miktarı;2;Köyler;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2024;396805,241966476;;;;;;;;;;
1_2;Deniz Suyu;_T;Toplam;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2020;10217163;;;;;;;;;;
1_2;Deniz Suyu;_T;Toplam;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2022;10920787;;;;;;;;;;
1_2;Deniz Suyu;_T;Toplam;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2024;11086994,751;;;;;;;;;;
1_2;Deniz Suyu;3;İmalat Sanayi İşyerleri;_T;Toplam;TR;Türkiye;BM3;Bin Metreküp;2020;1975576;;;;;;;;;;
1_2;Deniz Suyu;3;İmalat Sanayi İşyerleri;_T;Toplam;TR;Türkiye;BM3;Bin Metreküp;2022;2085532;;;;;;;;;;
1_2;Deniz Suyu;3;İmalat Sanayi İşyerleri;_T;Toplam;TR;Türkiye;BM3;Bin Metreküp;2024;2123949,834;;;;;;;;;;
1_2;Deniz Suyu;3;İmalat Sanayi İşyerleri;1;Soğutma Suyu;TR;Türkiye;BM3;Bin Metreküp;2020;1932995;;;;;;;;;;
1_2;Deniz Suyu;3;İmalat Sanayi İşyerleri;1;Soğutma Suyu;TR;Türkiye;BM3;Bin Metreküp;2022;2033887;;;;;;;;;;
1_2;Deniz Suyu;3;İmalat Sanayi İşyerleri;1;Soğutma Suyu;TR;Türkiye;BM3;Bin Metreküp;2024;2068729,901;;;;;;;;;;
1_2;Deniz Suyu;3;İmalat Sanayi İşyerleri;_O;Diğer;TR;Türkiye;BM3;Bin Metreküp;2020;42581;;;;;;;;;;
1_2;Deniz Suyu;3;İmalat Sanayi İşyerleri;_O;Diğer;TR;Türkiye;BM3;Bin Metreküp;2022;51644;;;;;;;;;;
1_2;Deniz Suyu;3;İmalat Sanayi İşyerleri;_O;Diğer;TR;Türkiye;BM3;Bin Metreküp;2024;55219,933;;;;;;;;;;
1_2;Deniz Suyu;4;Termik Santraller;_T;Toplam;TR;Türkiye;BM3;Bin Metreküp;2020;8165292;;;;;;;;;;
1_2;Deniz Suyu;4;Termik Santraller;_T;Toplam;TR;Türkiye;BM3;Bin Metreküp;2022;8757539;;;;;;;;;;
1_2;Deniz Suyu;4;Termik Santraller;_T;Toplam;TR;Türkiye;BM3;Bin Metreküp;2024;8885670,904;;;;;;;;;;
1_2;Deniz Suyu;4;Termik Santraller;1;Soğutma Suyu;TR;Türkiye;BM3;Bin Metreküp;2020;7663966;;;;;;;;;;
1_2;Deniz Suyu;4;Termik Santraller;1;Soğutma Suyu;TR;Türkiye;BM3;Bin Metreküp;2022;8234817;;;;;;;;;;
1_2;Deniz Suyu;4;Termik Santraller;1;Soğutma Suyu;TR;Türkiye;BM3;Bin Metreküp;2024;8335412,893;;;;;;;;;;
1_2;Deniz Suyu;4;Termik Santraller;_O;Diğer;TR;Türkiye;BM3;Bin Metreküp;2020;501326;;;;;;;;;;
1_2;Deniz Suyu;4;Termik Santraller;_O;Diğer;TR;Türkiye;BM3;Bin Metreküp;2022;522721;;;;;;;;;;
1_2;Deniz Suyu;4;Termik Santraller;_O;Diğer;TR;Türkiye;BM3;Bin Metreküp;2024;550258,011;;;;;;;;;;
1_2;Deniz Suyu;_O;Diğer;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2020;76295;;;;;;;;;;
1_2;Deniz Suyu;_O;Diğer;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2022;77717;;;;;;;;;;
1_2;Deniz Suyu;_O;Diğer;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2024;77374,013;;;;;;;;;;
2;Tuzsuzlaştırılan Deniz Suyu Miktarı;_Z;-;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2020;21034;;;;;;;;;;
2;Tuzsuzlaştırılan Deniz Suyu Miktarı;_Z;-;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2022;25053;;;;;;;;;;
2;Tuzsuzlaştırılan Deniz Suyu Miktarı;_Z;-;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2024;24037,29;;;;;;;;;;
3;Arıtılarak Yeniden Kullanılan Belediye Atıksu Miktarı;_Z;-;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2020;69142;;;;;;;;;;
3;Arıtılarak Yeniden Kullanılan Belediye Atıksu Miktarı;_Z;-;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2022;71585;;;;;;;;;;
3;Arıtılarak Yeniden Kullanılan Belediye Atıksu Miktarı;_Z;-;_Z;-;TR;Türkiye;BM3;Bin Metreküp;2024;65201,129;;;;;;;;;;
